,Clean Age,Clean Name,Clean Ticket_p,Given Names_p,Title_p,Family Name_p,Unnamed: 0_p,PassengerId,Survived,Pclass_p,Name_p,Sex,is_adult_man,is_woman_or_child,is_male,is_female,Age_p,SibSp,Parch,Ticket_p,Fare,Cabin,Embarked_p,Clean Ticket_s,Pclass_s,Given Names_s,Title_s,Family Name_s,Unnamed: 0_s,Name_s,Age_s,Class/Dept,Ticket_s,Embarked_s,Job,_merge,Match Potential_x,_merge_x,Match Potential_y,_merge_y
25,2.0,miss ellis anna maria andersson,347082,ellis anna maria,miss,andersson,119.0,120.0,0.0,3.0,"Andersson, Miss. Ellis Anna Maria",female,False,True,False,True,2.0,4.0,2.0,347082,31.275,,S,347082,3.0,ellis anna maria,miss,andersson,56.0,"ANDERSSON, Miss Ellis Anna Maria",2,3rd class passenger,347082£31               5s               6d,Southampton,                             ,both,,,,
26,9.0,miss ingeborg constanzia andersson,347082,ingeborg constanzia,miss,andersson,541.0,542.0,0.0,3.0,"Andersson, Miss. Ingeborg Constanzia",female,False,True,False,True,9.0,4.0,2.0,347082,31.275,,S,347082,3.0,ingeborg constanzia,miss,andersson,53.0,"ANDERSSON, Miss Ingeborg Constanzia",9,3rd class passenger,347082£31               5s               6d,Southampton,                             ,both,,,,
27,11.0,miss sigrid elisabeth andersson,347082,sigrid elisabeth,miss,andersson,542.0,543.0,0.0,3.0,"Andersson, Miss. Sigrid Elisabeth",female,False,True,False,True,11.0,4.0,2.0,347082,31.275,,S,347082,3.0,sigrid elisabeth,miss,andersson,52.0,"ANDERSSON, Miss Sigrid Elisabeth",11,3rd class passenger,347082£31               5s               6d,Southampton,                             ,both,,,,
28,38.0,miss ida augusta margareta andersson,347091,ida augusta margareta,miss,andersson,214.0,1106.0,,3.0,"Andersson, Miss. Ida Augusta Margareta",female,False,True,False,True,38.0,4.0,2.0,347091,7.775,,S,347091,3.0,ida augusta margareta,miss,andersson,49.0,"ANDERSSON, Miss Ida Augusta Margareta",38,3rd class passenger,347091£7               15s               6d,Southampton,                             ,both,,,,
29,39.0,mr anders johan andersson,347082,anders johan,mr,andersson,13.0,14.0,0.0,3.0,"Andersson, Mr. Anders Johan",male,True,False,True,False,39.0,1.0,5.0,347082,31.275,,S,347082,3.0,anders johan,mr,andersson,50.0,"ANDERSSON, Mr Anders Johan",39,3rd class passenger,347082£31               5s               6d,Southampton,General Labourer                             ,both,,,,
30,20.0,mr paul edvin andreasson,347466,paul edvin,mr,andreasson,91.0,92.0,0.0,3.0,"Andreasson, Mr. Paul Edvin",male,True,False,True,False,20.0,0.0,0.0,347466,7.8542,,S,347466,3.0,paul edvin,mr,andreasson,57.0,"ANDREASSON, Mr Paul Edvin",20,3rd class passenger,347466£7               17s               1d,Southampton,General Labourer                             ,both,,,,
31,25.0,mr frank thomas andrew,34050,frank thomas,mr,andrew,204.0,1096.0,,2.0,"Andrew, Mr. Frank Thomas",male,True,False,True,False,25.0,0.0,0.0,C.A. 34050,10.5,,S,34050,2.0,frank thomas,mr,andrew,59.0,"ANDREW, Mr Frank Thomas",25,2nd class passenger,34050£10               10s               ,Southampton,Miner                             ,both,,,,
32,63.0,miss kornelia theodosia andrews,13502,kornelia theodosia,miss,andrews,275.0,276.0,1.0,1.0,"Andrews, Miss. Kornelia Theodosia",female,False,True,False,True,63.0,1.0,0.0,13502,77.9583,D7,S,13502,1.0,kornelia theodosia,miss,andrews,60.0,"ANDREWS, Miss Kornelia Theodosia",62,1st class passenger,13502£77               19s               2d,Cherbourg,                             ,both,,,,
33,26.0,mr minko angheloff,349202,minko,mr,angheloff,295.0,1187.0,,3.0,"Angheloff, Mr. Minko",male,True,False,True,False,26.0,0.0,0.0,349202,7.8958,,S,349202,3.0,minko,mr,angheloff,64.0,"ANGHELOFF, Mr Minko",26,3rd class passenger,349202£7               17s               11d,Southampton,General Labourer                             ,both,,,,
34,34.0,mr william a angle,226875,william a,mr,angle,190.0,1082.0,,2.0,"Angle, Mr. William A",male,True,False,True,False,34.0,1.0,0.0,226875,26.0,,S,226875,2.0,william a,mr,angle,65.0,"ANGLE, Mr William A.",32,2nd class passenger,226875£26                             ,Southampton,                             ,both,,,,
35,25.0,mr josef arnoldfranchi,349237,josef,mr,arnoldfranchi,353.0,354.0,0.0,3.0,"Arnold-Franchi, Mr. Josef",male,True,False,True,False,25.0,1.0,0.0,349237,17.8,,S,349237,3.0,josef,mr,arnoldfranchi,70.0,"ARNOLD-FRANCHI, Mr Josef",25,3rd class passenger,349237£17               16s               ,Southampton,General Labourer                             ,both,,,,
36,24.0,mr ernst axel algot aronsson,349911,ernst axel algot,mr,aronsson,386.0,1278.0,,3.0,"Aronsson, Mr. Ernst Axel Algot",male,True,False,True,False,24.0,0.0,0.0,349911,7.775,,S,349911,3.0,ernst axel algot,mr,aronsson,72.0,"ARONSSON, Mr Ernst Axel Algot",24,3rd class passenger,349911£7               15s               6d,Southampton,General Labourer                             ,both,,,,
37,71.0,mr ramon artagaveytia,17609,ramon,mr,artagaveytia,493.0,494.0,0.0,1.0,"Artagaveytia, Mr. Ramon",male,True,False,True,False,71.0,0.0,0.0,PC 17609,49.5042,,C,17609,1.0,ramon,mr,artagaveytia,73.0,"ARTAGAVEYTIA, Mr Ramon",71,1st class passenger,17609£49               10s               1d,Cherbourg,Businessman                             ,both,,,,
38,57.0,mr john ashby,244346,john,mr,ashby,387.0,1279.0,,2.0,"Ashby, Mr. John",male,True,False,True,False,57.0,0.0,0.0,244346,13.0,,S,244346,2.0,john,mr,ashby,74.0,"ASHBY, Mr John",57,2nd class passenger,244346£13                             ,Southampton,                             ,both,,,,
39,35.0,mr adola asim,3101310,adola,mr,asim,363.0,364.0,0.0,3.0,"Asim, Mr. Adola",male,True,False,True,False,35.0,0.0,0.0,SOTON/O.Q. 3101310,7.05,,S,3101310,3.0,adola,mr,asim,77.0,"ASIM, Mr Adola",35,3rd class passenger,3101310£7               1s               ,Southampton,General Labourer                             ,both,,,,
40,9.0,master clarence gustaf hugo asplund,347077,clarence gustaf hugo,master,asplund,182.0,183.0,0.0,3.0,"Asplund, Master. Clarence Gustaf Hugo",male,False,True,True,False,9.0,4.0,2.0,347077,31.3875,,S,347077,3.0,clarence gustaf hugo,master,asplund,85.0,"ASPLUND, Master Clarence Gustaf Hugo",9,3rd class passenger,347077£31               7s               9d,Southampton,                             ,both,,,,
41,13.0,master filip oscar asplund,347077,filip oscar,master,asplund,154.0,1046.0,,3.0,"Asplund, Master. Filip Oscar",male,False,True,True,False,13.0,4.0,2.0,347077,31.3875,,S,347077,3.0,filip oscar,master,asplund,84.0,"ASPLUND, Master Filip Oscar",13,3rd class passenger,347077£31               7s               9d,Southampton,                             ,both,,,,
42,3.0,master edvin rojj felix asplund,347077,edvin rojj felix,master,asplund,261.0,262.0,1.0,3.0,"Asplund, Master. Edvin Rojj Felix",male,False,True,True,False,3.0,4.0,2.0,347077,31.3875,,S,347077,3.0,edvin rojj felix,master,asplund,79.0,"ASPLUND, Master Edvin Rojj Felix",3,3rd class passenger,347077£31               7s               9d,Southampton,                             ,both,,,,
43,5.0,miss lillian gertrud asplund,347077,lillian gertrud,miss,asplund,233.0,234.0,1.0,3.0,"Asplund, Miss. Lillian Gertrud",female,False,True,False,True,5.0,4.0,2.0,347077,31.3875,,S,347077,3.0,lillian gertrud,miss,asplund,86.0,"ASPLUND, Miss Lillian Gertrud",5,3rd class passenger,347077£31               7s               9d,Southampton,                             ,both,,,,
44,5.0,master carl edgar asplund,347077,carl edgar,master,asplund,379.0,1271.0,,3.0,"Asplund, Master. Carl Edgar",male,False,True,True,False,5.0,4.0,2.0,347077,31.3875,,S,347077,3.0,carl edgar,master,asplund,83.0,"ASPLUND, Master Carl Edgar",5,3rd class passenger,347077£31               7s               9d,Southampton,                             ,both,,,,
45,23.0,mr johan charles asplund,350054,johan charles,mr,asplund,226.0,1118.0,,3.0,"Asplund, Mr. Johan Charles",male,True,False,True,False,23.0,0.0,0.0,350054,7.7958,,S,350054,3.0,johan charles,mr,asplund,80.0,"ASPLUND, Mr Johan Charles",23,3rd class passenger,350054£7               15s               11d,Southampton,                             ,both,,,,
46,40.0,mr carl oscar vilhelm gustafsson asplund,347077,carl oscar vilhelm gustafsson,mr,asplund,174.0,1066.0,,3.0,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,True,False,True,False,40.0,1.0,5.0,347077,31.3875,,S,347077,3.0,carl oscar vilhelm gustafsson,mr,asplund,81.0,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",40,3rd class passenger,347077£31               7s               9d,Southampton,General Labourer                             ,both,,,,
47,23.0,mr ali assam,3101309,ali,mr,assam,325.0,1217.0,,3.0,"Assam, Mr. Ali",male,True,False,True,False,23.0,0.0,0.0,SOTON/O.Q. 3101309,7.05,,S,3101309,3.0,ali,mr,assam,88.0,"ASSAM, Mr Ali",23,3rd class passenger,3101309£7               1s               ,Southampton,General Labourer                             ,both,,,,
48,17.0,miss malake attalah,2627,malake,miss,attalah,114.0,115.0,0.0,3.0,"Attalah, Miss. Malake",female,False,True,False,True,17.0,0.0,0.0,2627,14.4583,,C,2627,3.0,malake,miss,attalah,92.0,"ATTALAH, Miss Malake",17,3rd class passenger,2627£14               9s               2d,Cherbourg,                             ,both,,,,
49,23.0,mr albert augustsson,347468,albert,mr,augustsson,833.0,834.0,0.0,3.0,"Augustsson, Mr. Albert",male,True,False,True,False,23.0,0.0,0.0,347468,7.8542,,S,347468,3.0,albert,mr,augustsson,94.0,"AUGUSTSSON, Mr Albert",23,3rd class passenger,347468£7               17s               1d,Southampton,General Labourer                             ,both,,,,
50,20.0,mr raffull baccos,2679,raffull,mr,baccos,237.0,1129.0,,3.0,"Baccos, Mr. Raffull",male,True,False,True,False,20.0,0.0,0.0,2679,7.225,,C,2679,3.0,raffull,mr,baccos,99.0,"BACCOS, Mr Raffull",20,3rd class passenger,2679£7               4s               6d,Cherbourg,Farm Labourer                             ,both,,,,
51,0.75,miss eugenie baclini,2666,eugenie,miss,baclini,644.0,645.0,1.0,3.0,"Baclini, Miss. Eugenie",female,False,True,False,True,0.75,2.0,1.0,2666,19.2583,,C,2666,3.0,eugenie,miss,baclini,105.0,"BACLINI, Miss Eugenie",3,3rd class passenger,2666£19               5s               2d,Cherbourg,                             ,both,,,,
52,0.75,miss helene barbara baclini,2666,helene barbara,miss,baclini,469.0,470.0,1.0,3.0,"Baclini, Miss. Helene Barbara",female,False,True,False,True,0.75,2.0,1.0,2666,19.2583,,C,2666,3.0,helene barbara,miss,baclini,106.0,"BACLINI, Miss Helene Barbara",9m,3rd class passenger,2666£19               5s               2d,Cherbourg,                             ,both,,,,
53,5.0,miss marie catherine baclini,2666,marie catherine,miss,baclini,448.0,449.0,1.0,3.0,"Baclini, Miss. Marie Catherine",female,False,True,False,True,5.0,2.0,1.0,2666,19.2583,,C,2666,3.0,marie catherine,miss,baclini,104.0,"BACLINI, Miss Marie Catherine",5,3rd class passenger,2666£19               5s               2d,Cherbourg,                             ,both,,,,
54,18.0,miss emily louisa badman,31416,emily louisa,miss,badman,87.0,979.0,,3.0,"Badman, Miss. Emily Louisa",female,False,True,False,True,18.0,0.0,0.0,A/4 31416,8.05,,S,31416,3.0,emily louisa,miss,badman,107.0,"BADMAN, Miss Emily Louisa",18,3rd class passenger,31416£8               1s               ,Southampton,Servant                             ,both,,,,
55,40.0,mr mohamed badt,2623,mohamed,mr,badt,661.0,662.0,0.0,3.0,"Badt, Mr. Mohamed",male,True,False,True,False,40.0,0.0,0.0,2623,7.225,,C,2623,3.0,mohamed,mr,badt,108.0,"BADT, Mr Mohamed",40,3rd class passenger,2623£7               4s               6d,Cherbourg,Farmer                             ,both,,,,
56,26.0,mr cerin balkic,349248,cerin,mr,balkic,870.0,871.0,0.0,3.0,"Balkic, Mr. Cerin",male,True,False,True,False,26.0,0.0,0.0,349248,7.8958,,S,349248,3.0,cerin,mr,balkic,120.0,"BALKIC, Mr Cerin",26,3rd class passenger,349248£7               17s               11d,Southampton,General Labourer                             ,both,,,,
57,28.0,mr frederick james banfield,34068,frederick james,mr,banfield,883.0,884.0,0.0,2.0,"Banfield, Mr. Frederick James",male,True,False,True,False,28.0,0.0,0.0,C.A./SOTON 34068,10.5,,S,34068,2.0,frederick james,mr,banfield,124.0,"BANFIELD, Mr Frederick James",28,2nd class passenger,34068£10               10s               ,Southampton,Miner                             ,both,,,,
58,45.0,mrs catherine david barbara,2691,catherine david,mrs,barbara,362.0,363.0,0.0,3.0,"Barbara, Mrs. (Catherine David)",female,False,True,False,True,45.0,0.0,1.0,2691,14.4542,,C,2691,3.0,catherine david,mrs,barbara,127.0,"BARBARA, Mrs Catherine David",45,3rd class passenger,2691£14               9s               1d,Cherbourg,Housekeeper                             ,both,,,,
59,18.0,miss saiide barbara,2691,saiide,miss,barbara,702.0,703.0,0.0,3.0,"Barbara, Miss. Saiide",female,False,True,False,True,18.0,0.0,1.0,2691,14.4542,,C,2691,3.0,saiide,miss,barbara,128.0,"BARBARA, Miss Saiide",18,3rd class passenger,2691£14               9s               1d,Cherbourg,Housekeeper                             ,both,,,,
60,27.0,miss julia barry,330844,julia,miss,barry,86.0,978.0,,3.0,"Barry, Miss. Julia",female,False,True,False,True,27.0,0.0,0.0,330844,7.8792,,Q,330844,3.0,julia,miss,barry,150.0,"BARRY, Miss Julia",26,3rd class passenger,330844£7               17s               7d,Queenstown,Housekeeper                             ,both,,,,
61,22.0,mr david john barton,324669,david john,mr,barton,112.0,113.0,0.0,3.0,"Barton, Mr. David John",male,True,False,True,False,22.0,0.0,0.0,324669,8.05,,S,324669,3.0,david john,mr,barton,154.0,"BARTON, Mr David John",22,3rd class passenger,324669£8               1s               ,Southampton,General Labourer                             ,both,,,,
62,60.0,mr john d baumann,17318,john d,mr,baumann,168.0,169.0,0.0,1.0,"Baumann, Mr. John D",male,False,False,True,False,,0.0,0.0,PC 17318,25.925,,S,17318,1.0,john d,mr,baumann,158.0,"BAUMANN, Mr John D.",60,1st class passenger,17318£25               18s               6d,Cherbourg,Businessman                             ,both,,,,
63,24.0,mr quigg edmond baxter,17558,quigg edmond,mr,baxter,118.0,119.0,0.0,1.0,"Baxter, Mr. Quigg Edmond",male,True,False,True,False,24.0,0.0,1.0,PC 17558,247.5208,B58 B60,C,17558,1.0,quigg edmond,mr,baxter,160.0,"BAXTER, Mr Quigg Edmond",24,1st class passenger,17558£247               10s               5d,Cherbourg,                             ,both,,,,
64,32.0,mr edward beane,2908,edward,mr,beane,543.0,544.0,1.0,2.0,"Beane, Mr. Edward",male,True,False,True,False,32.0,1.0,0.0,2908,26.0,,S,2908,2.0,edward,mr,beane,165.0,"BEANE, Mr Edward",32,2nd class passenger,2908£26                             ,Southampton,                             ,both,,,,
65,36.0,mr thomson beattie,13050,thomson,mr,beattie,118.0,1010.0,,1.0,"Beattie, Mr. Thomson",male,True,False,True,False,36.0,0.0,0.0,13050,75.2417,C6,C,13050,1.0,thomson,mr,beattie,167.0,"BEATTIE, Mr Thomson",36,1st class passenger,13050£75               4s               10d,Southampton,Landowner                             ,both,,,,
66,28.0,mr henry james beauchamp,244358,henry james,mr,beauchamp,143.0,1035.0,,2.0,"Beauchamp, Mr. Henry James",male,True,False,True,False,28.0,0.0,0.0,244358,26.0,,S,244358,2.0,henry james,mr,beauchamp,170.0,"BEAUCHAMP, Mr Henry James",28,2nd class passenger,244358£26                             ,Southampton,                             ,both,,,,
67,19.0,mr william thomas beavan,323951,william thomas,mr,beavan,372.0,373.0,0.0,3.0,"Beavan, Mr. William Thomas",male,True,False,True,False,19.0,0.0,0.0,323951,8.05,,S,323951,3.0,william thomas,mr,beavan,172.0,"BEAVAN, Mr William Thomas",18,3rd class passenger,323951£8               1s               ,Southampton,General Labourer                             ,both,,,,
68,1.0,master richard f becker,230136,richard f,master,becker,183.0,184.0,1.0,2.0,"Becker, Master. Richard F",male,False,True,True,False,1.0,2.0,1.0,230136,39.0,F4,S,230136,2.0,richard f,master,becker,175.0,"BECKER, Master Richard F.",1,2nd class passenger,230136£39                             ,Southampton,                             ,both,,,,
69,12.0,miss ruth elizabeth becker,230136,ruth elizabeth,miss,becker,326.0,1218.0,,2.0,"Becker, Miss. Ruth Elizabeth",female,False,True,False,True,12.0,2.0,1.0,230136,39.0,F4,S,230136,2.0,ruth elizabeth,miss,becker,176.0,"BECKER, Miss Ruth Elizabeth",12,2nd class passenger,230136£39                             ,Southampton,                             ,both,,,,
70,4.0,miss marion louise becker,230136,marion louise,miss,becker,618.0,619.0,1.0,2.0,"Becker, Miss. Marion Louise",female,False,True,False,True,4.0,2.0,1.0,230136,39.0,F4,S,230136,2.0,marion louise,miss,becker,174.0,"BECKER, Miss Marion Louise",4,2nd class passenger,230136£39                             ,Southampton,                             ,both,,,,
71,37.0,mr richard leonard beckwith,11751,richard leonard,mr,beckwith,248.0,249.0,1.0,1.0,"Beckwith, Mr. Richard Leonard",male,True,False,True,False,37.0,1.0,1.0,11751,52.5542,D35,S,11751,1.0,richard leonard,mr,beckwith,177.0,"BECKWITH, Mr Richard Leonard",37,1st class passenger,11751£52               11s               1d,Southampton,                             ,both,,,,
72,34.0,mr lawrence beesley,248698,lawrence,mr,beesley,21.0,22.0,1.0,2.0,"Beesley, Mr. Lawrence",male,True,False,True,False,34.0,0.0,0.0,248698,13.0,D56,S,248698,2.0,lawrence,mr,beesley,182.0,"BEESLEY, Mr Lawrence",34,2nd class passenger,248698£13                             ,Southampton,Teacher                             ,both,,,,
73,26.0,mr karl howell behr,111369,karl howell,mr,behr,889.0,890.0,1.0,1.0,"Behr, Mr. Karl Howell",male,True,False,True,False,26.0,0.0,0.0,111369,30.0,C148,C,111369,1.0,karl howell,mr,behr,183.0,"BEHR, Mr Karl Howell",26,1st class passenger,111369£30                             ,Cherbourg,                             ,both,,,,
